FIPS,selection_ratio,ci,urban_code,incidents,frequency,black,white,bwratio,year,cat,slci,selection_ratio_log10
08081,2.327247251841243,1.940399962846889,5,114,"10,383",300.0,82764.0,0.004,2012,Low confidence,2.327 ± 1.94,0.36684252613414775
08083,5.693257421015197,5.911749669835279,6,44,"18,395",632.5,201718.0,0.003,2012,Low confidence,5.693 ± 5.912,0.7553608209095529
08085,2.831989969819944,2.311923387646313,5,164,"32,792",1696.5,293436.0,0.006,2012,Low confidence,2.832 ± 2.312,0.45209171086110544
08087,1.5616126204509413,1.2434755495700869,5,84,"22,099",5532.0,171264.0,0.032,2012,Low confidence,1.562 ± 1.243,0.1935733101651211
08089,5.200059378839667,5.608598484245701,6,20,"14,486",787.5,71645.0,0.011,2012,Low confidence,5.2 ± 5.609,0.7160083028184865
08091,33.12601499686172,45.4270122854678,6,1,"3,904",20.0,15598.0,0.001,2012,Low confidence,33.126 ± 45.427,1.5201691941383089
08093,9.736075093176144,10.658947422419027,2,16,"13,651",357.5,67900.0,0.005,2012,Low confidence,9.736 ± 10.659,0.9883839148960286
08095,19.33306237455448,25.461277995930885,6,2,"3,586",52.5,10707.0,0.005,2012,Low confidence,19.333 ± 25.461,1.2863006521160107
08097,4.727822254768856,4.978539489259843,5,31,"14,863",306.0,44283.0,0.007,2012,Low confidence,4.728 ± 4.979,0.6746611406261337
08099,4.080959200689289,1.4332529377167385,6,98,"9,755",552.0,77492.0,0.007,2012,S>2,4.081 ± 1.433,0.610762252944288
08101,4.0882941707407445,2.967793780555992,4,65,"126,617",43085.0,1729553.0,0.025,2012,S>1,4.088 ± 2.968,0.6115421376484281
08103,4.800596954218293,4.523955334924845,6,23,"5,345",234.0,21148.0,0.011,2012,Low confidence,4.801 ± 4.524,0.6812952452512483
08105,4.467518213084091,4.714037152961359,6,29,"9,321",262.5,46342.5,0.006,2012,Low confidence,4.468 ± 4.714,0.6500663317038813
08107,1.77929552024614,1.804619241342165,5,116,"19,612",886.5,175621.5,0.005,2012,Low confidence,1.779 ± 1.805,0.25024808532590176
08109,11.378280989165535,13.342810584732929,6,7,"4,966",60.0,14838.0,0.004,2012,Low confidence,11.378 ± 13.343,1.0560766545624656
08113,13.569538012356295,16.16690324759863,6,6,"6,300",148.0,25054.0,0.006,2012,Low confidence,13.57 ± 16.167,1.1325650619486247
08115,15.986657769368012,21.910742076207043,6,1,"1,998",21.0,3975.0,0.005,2012,Low confidence,15.987 ± 21.911,1.2037576780026793
08117,2.4020688867003432,2.258267596287696,5,93,"24,078",1540.0,167006.0,0.009,2012,Low confidence,2.402 ± 2.258,0.3805854579731524
08119,9.802849206633905,6.792541457802146,3,51,"19,690",577.5,97875.0,0.006,2012,S>2,9.803 ± 6.793,0.9913523221084701
08121,4.1292020816708765,3.5222044823774303,6,26,"3,938",87.0,11728.5,0.007,2012,Low confidence,4.129 ± 3.522,0.6158661376111945
08123,1.9327485227676937,0.8635409512688669,3,619,"202,762",86608.5,6604537.5,0.013,2012,S>1,1.933 ± 0.864,0.28617535000413147
09001,3.101007727301336,0.4213906602555911,3,903,"729,373",2648584.5,18503232.5,0.143,2012,S>2,3.101 ± 0.421,0.49150284844311454
09003,1.7868532001907984,0.2804790107700461,1,786,"713,442",7074957.5,39298805.0,0.18,2012,S>1,1.787 ± 0.28,0.2520888742930567
09005,7.682708566386573,3.32488757204895,5,161,"158,157",42925.0,2645752.5,0.016,2012,S>2,7.683 ± 3.325,0.8855143591010534
09007,5.17172567629512,1.496412023205958,2,223,"137,619",198380.0,3654952.0,0.054,2012,S>2,5.172 ± 1.496,0.713635480548858
09009,2.4356197900086856,0.2698424727807435,3,1393,"695,991",5367230.0,32912275.0,0.163,2012,S>2,2.436 ± 0.27,0.38660949414609636
09011,5.573993732453802,1.60813162328384,3,200,"217,097",337778.0,4655453.0,0.073,2012,S>2,5.574 ± 1.608,0.7461664760453408
09013,2.3628347250266044,0.8432291058576055,2,326,"125,668",31650.5,848025.5,0.037,2012,S>1,2.363 ± 0.843,0.37343334477276724
09015,3.886964122080948,2.830873720183015,3,60,"97,468",18854.5,663425.0,0.028,2012,S>1,3.887 ± 2.831,0.5896105319731296
10001,2.616444333592185,0.3660362216410516,4,683,"131,623",1286129.0,3715545.0,0.346,2012,S>2,2.616 ± 0.366,0.41771149930082646
10003,2.937417506494404,0.2565883465335973,2,1809,"429,705",3947544.0,11521836.0,0.343,2012,S>2,2.937 ± 0.257,0.46796567886197543
10005,3.796778510089741,0.5145670995457511,3,740,"168,034",766152.0,5283090.0,0.145,2012,S>2,3.797 ± 0.515,0.5794152627569936
16001,3.5107965859778223,0.5306722440856317,3,2274,"316,974",168518.5,14729259.5,0.011,2012,S>2,3.511 ± 0.531,0.5454056673615174
16003,8.362947132931717,,6,14,"3,348",12.0,6684.0,0.002,2012,Low confidence,8.363 ± nan,0.9223593513646536
16005,3.4752287407051345,1.9944726342872945,4,230,"63,013",6550.5,686598.0,0.01,2012,S>1,3.475 ± 1.994,0.5409833952733649
16007,7.393973508473372,8.197083369587348,6,13,"4,712",27.0,14110.5,0.002,2012,Low confidence,7.394 ± 8.197,0.8688778902262086
16009,7.689160516598959,,6,37,"6,863",102.5,34215.0,0.003,2012,Low confidence,7.689 ± nan,0.8858789271993336
16011,10.032090880327614,5.029073927740614,5,103,"31,869",816.0,190398.0,0.004,2012,S>5,10.032 ± 5.029,1.0013914577615637
16013,6.319124660273301,6.571882063451706,5,42,"17,030",207.5,84942.5,0.002,2012,Low confidence,6.319 ± 6.572,0.8006569229751272
16015,3.6732981423031257,3.8559630678996464,3,31,"5,755",52.5,17212.5,0.003,2012,Low confidence,3.673 ± 3.856,0.5650561791762926
16017,4.632837511781646,4.104972748901685,5,146,"33,643",264.0,134310.0,0.002,2012,Low confidence,4.633 ± 4.105,0.6658470683935054
16019,3.223617619147797,1.9571134415693805,4,292,"79,716",5610.0,791555.0,0.007,2012,S>1,3.224 ± 1.957,0.5083435208058336
